app_id,name,release_date,coming_soon,price_usd,is_free,discount_pct,developer,publisher,genres,categories,tags,platforms_win,platforms_mac,platforms_linux,recommendations,positive_reviews,negative_reviews,estimated_owners,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,release_year,release_month,estimated_owners_mid,is_free_clean,price_log,recommendations_scaled,avg_playtime_forever_scaled,dlc_count_scaled,achievements_scaled,release_year_scaled,primary_genre,total_reviews,review_score
794260,Outward Definitive Edition,2022-05-17,False,4.79,False,88,Nine Dots Studio,"Prime Matter, Deep Silver",RPG,"Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play Together, Family Sharing","RPG, Open World, Survival, Co-op, Online Co-Op, Local Co-Op, Souls-like, Split Screen, Fantasy, Adventure",True,False,False,23986,20738,7717,"1,000,000 .. 2,000,000",1332,824,465,469,0,1,72,2022,5,1500000.0,False,1.7561322915849038,0.0266968189878063,0.010072848747377327,-0.09984655995698968,0.2181383868890859,1.0400098198119392,RPG,28455,0.7287998594271657
253920,Gorky 17,2013-09-27,False,9.99,False,0,Metropolis Software,TopWare Interactive,"RPG, Strategy","Single-player, Steam Trading Cards, Family Sharing","RPG, Strategy, Turn-Based, Classic, Horror, Post-apocalyptic, Singleplayer, Turn-Based Strategy, Isometric, Tactical",True,True,True,909,1616,411,"200,000 .. 500,000",301,0,328,61,17,2,0,2013,9,350000.0,False,2.39698576841553,-0.1354618420711035,-0.3005347632225627,-0.05760269267919593,-0.3453586044247277,-1.0190989186448345,RPG,2027,0.7972372964972866
613010,Secret in Story,2017-06-19,False,0.89,False,10,Naivus Luo,Naivus Luo,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Indie, Adventure, Visual Novel",True,True,False,0,79,35,"2,000,000 .. 5,000,000",251,0,243,0,0,0,32,2017,6,3500000.0,False,0.636576829071551,-0.14184925043885277,-0.31559817796407286,-0.14209042723478343,-0.09491549717414388,-0.10393947933071283,Adventure,114,0.6929824561403509
892420,懒人修仙传,2018-11-14,False,3.99,False,0,托更的修罗,托更的修罗,"Casual, Indie, RPG, Simulation","Single-player, Family Sharing","Simulation, Casual, RPG, Indie, Word Game, Idler",True,False,False,1169,769,509,"200,000 .. 500,000",5786,0,9223,41,0,0,0,2018,11,350000.0,False,1.6074359097634274,-0.1336348605797781,1.3519218339211043,-0.14209042723478343,-0.3453586044247277,0.12485038049781758,Casual,1278,0.6017214397496088
914010,Train Station Renovation,2020-10-01,False,18.99,False,0,Live Motion Games,"Live Motion Games, Frozen Way, PlayWay S.A., Frozen District","Casual, Indie, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Simulation, Casual, Indie, Trains, First-Person, Singleplayer, Building, Realistic, Relaxing, Family Friendly",True,False,False,1948,2154,466,"200,000 .. 500,000",448,0,201,16,0,1,73,2020,10,350000.0,False,2.995232148512309,-0.1281609429576916,-0.2562483238825227,-0.09984655995698968,0.22596473399066666,0.5824301001548784,Casual,2620,0.8221374045801527
352550,Urban Empire,2017-01-20,False,2.99,False,90,Reborn Games,Kalypso Media Digital,"Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Strategy, Simulation, City Builder, Politics, Political Sim, Management, Economy, Historical, RPG, Political",True,False,False,1903,834,1620,"200,000 .. 500,000",114,0,104,3,0,0,74,2017,1,350000.0,False,1.3837912309017721,-0.1284771512927287,-0.35687193435581077,-0.14209042723478343,0.23379108109224742,-0.10393947933071283,Simulation,2454,0.33985330073349634
247020,"Cook, Serve, Delicious!",2013-10-08,False,12.99,False,0,Vertigo Gaming Inc.,Vertigo Gaming Inc.,"Action, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Difficulty, Mouse Only Option, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","Indie, Time Management, Typing, Difficult, Management, Cooking, Arcade, Strategy, 2D, Funny",True,True,True,3710,5311,309,"500,000 .. 1,000,000",491,0,233,7,0,1,52,2013,10,750000.0,False,2.63834278867739,-0.11577962992801706,-0.24329378720482397,-0.09984655995698968,0.06161144485747102,-1.0190989186448345,Action,5620,0.945017793594306
253940,Septerra Core,2013-09-27,False,7.99,False,0,Unknown,Topware Interactive,RPG,"Single-player, Steam Trading Cards, Steam Cloud, Family Sharing","RPG, Turn-Based, JRPG, Singleplayer, Isometric, Female Protagonist, Classic, Sci-fi, Story Rich, Adventure",True,True,True,576,893,289,"200,000 .. 500,000",348,0,300,4,0,2,0,2013,9,350000.0,False,2.196112848483529,-0.137801783750378,-0.2863751533655431,-0.05760269267919593,-0.3453586044247277,-1.0190989186448345,RPG,1182,0.7554991539763113
1846170,Iron Lung,2022-03-09,False,7.99,False,0,David Szymanski,David Szymanski,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Camera Comfort, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Family Sharing","Horror, Atmospheric, Psychological Horror, Submarine, Underwater, Short, Indie, Pixel Graphics, Minimalist, Adventure",True,False,False,9597,7529,641,"200,000 .. 500,000",84,0,83,3,0,1,7,2022,3,350000.0,False,2.196112848483529,-0.07441255285327587,-0.3659099832007169,-0.09984655995698968,-0.2905741747136625,1.0400098198119392,Adventure,8170,0.9215422276621787
260210,Assassin’s Creed® Liberation HD,2014-01-15,False,19.99,False,0,Ubisoft Sofia,Ubisoft,"Action, Adventure","Single-player, Steam Achievements","Action, Female Protagonist, Open World, Stealth, Adventure, Assassin, Third Person, Parkour, Singleplayer, Historical",True,False,False,2955,1596,1374,"200,000 .. 500,000",265,0,113,6,17,0,30,2014,1,350000.0,False,3.0440461338325417,-0.12108490310475047,-0.31138042183645,-0.14209042723478343,-0.11056819137730538,-0.7903090588163041,Action,2970,0.5373737373737374
